"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
U078,1,1,19:00:00,"Getting ready to party!",70.00,"Getting ready to party.  Set includes two bottles of wine, 4 wine glasses and 5 decorative plates to serve your guests.","Gibson & Associates"
S030,2,1,19:00:00,"Framed Small Picture",50.00,"This watercolored picture has been painted in the area of High Park, Toronto.It shows a street in late fall, with homes and cars with the gates to High Park in the background. People walking wearing their fall coats.  Lovely picture for any room and has a brushed aluminum frame.","Al Schaafsma"
W149,3,1,19:00:00,"Hilton Garden Inn One Night Gift Card",150.00,"The Hilton Garden Inn in Mississauga donates - a $150 Gift Certificate for One Night Accomodation - Valid any Thursday / Friday / Saturday or Sunday until April 30, 2012 - Make it a Special Night for a Special Birthday or Anniversary - Courtesy of The Hilton Garden Inn.","Hilton Garden Inn"
S047,4,1,19:00:00,"$100 Certificate Woodhill Garden Centre",100.00,"Once again Woodhill Garden Centre is providing a $100 Gift Certificate. Woodhill Garden Centre is a full service garden centre offering landscaping services as well as an extensive inventory for all your gardening needs; from annuals and perennials to indoor tropical plants! Or perhaps you want to get your home ready for the Holiday Season, Woodhill has a beautiful selection of Poinsettias and Christmas trees!  Perfect gift item for the gardener on your shopping list!","Woodhill Garden Centre"
U116,5,1,19:00:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
S274,6,1,19:00:00,"Sweater and two necklaces",80.00,"Lindor's Ladies Shop has donated this sweater and 2 necklaces.  The sweater has a high neck in a cable stitch pattern on the sweater with long sleeves and is a size medium.  Included is a pendant necklace in black , gold and brown as well as another necklace with light blue stones, clear stones and a light green stone in the middle.  The necklaces compliment this sweater nicely.    ","Lindor Inc."
W017,9,2,19:10:00,"6 CNE Guest Passes",96.00,"The Canadian National Exhibition donates 6 Guest Passes for the 2012 C N E - valid for grounds admission from August 17 to September 3 - Enjoy you visits to the world's finest International Exhibition next year.LETS GO TO THE EX !","Canadian National Exhibition"
X025,10,2,19:10:00,"Prince Charles 60th Birthday Plate ",150.00,"This Royal Doulton plate celebrates Prince Charles'60th birthday (PN356).  It was designed by Neil Faulkner and is #99 of the 500 limited edition. ","Hardy Stevenson + Assoc.Ltd."
W006,11,2,19:10:00,"Foot Clinic Gift Certificate",100.00,"The Kingsway Foot Clinic located at 2917 Bloor St. West donates a $100 Gift Certificate for a Foot Care Consultation and a foot cream sample. Enjoy better health courtesy of Kingsway Foot Clinic.","Kingsway Foot Clinic"
W092,12,2,19:10:00,"Framed Print - White Lilies in Gold Vase",175.00,"Universal Picture Framing & Sports located at 3850 Steeles Ave. West donates - a Colorful Attractively Framed Print "" White Lilies in a Gold Vase "" - Frame measures 35"" x 43"" - This Attractive Picture would Enhance any Formal Setting or Elegant Living Room - Courtesy of Universal Picture Framing & Sports.","Universal Picture Framing and Sports"
U090,13,2,19:10:00,"Certificate - Tree, Shrub or Hedge Project",250.00,"Ferris the Forester - Brent Ferris and his dedicated team will give you honest, insightful advice about many of your tree problems. Whether its' an arborist report, trimming or remove of trees, shrubs or correcting root strangulation, you wont' go wrong with the Ferris Team. We cover the GTA, out to Oakville, Oshawa and North to Newmarket. Pruning, Trimming Shrub & Trees Tree Removal & Stumps Tree consulting -- we tell it like it is 416-460-5704","Ferris the Forester"
S180,14,2,19:10:00,"Chocolate Fondue Set & 4 Individual Pots",60.00,"Cadbury has made this ceramic chocolate fondue set which has two serving dishes, 4 stainless steel fondue forks and a tea light. Plus we have four personal melting pots as well. Each has a different design on it. Put your favorite dipping items in and around the semi circle serving dishes and enjoy.","Fred Pierce"
W056,15,2,19:10:00,"Thermal Cooler Gift Assortment",75.00,"The Village of Humber Heights Retirement Community has donated an assortment consisting of a Thermal Cooler containing; Table Water Crackers, Sesame Breadsticks, Lemon Crisp Cookies and Cheese Puffs as well as jars of Antipasto and Extra Fine Gherkins, the package also contains Pistachios and Cranberry Splash Mix. To quench your thirst there is Blackberry Vanilla Infusion Tea, a VQA Ontario botttle of 2008 Colio River Rock Red and a VQA Ontario bottle of 2008 Tintern Ridge White and to complete the picnic a package of Cocktail Napkins.","Village of Humber Heights"
T001,17,3,19:20:00,"Panasonic Blue-Ray Disc Player",150.00,"A Networking Blue-Ray player capable of playing BD, DVD and CD's, SD cards to view personal pictures and videos and has a USB port and is Wireless LAN ready.  Other features include High Definition Original Movie Quality and ultra fast 0.5 seconds quick start.","West Park Healthcare Foundation"
Y017,18,3,19:20:00,"70 Minute Massage",100.00,"70 Minute Massage of your choice from a Registered Massage Therapist. Treat yourself or somone special. What a perfect Christmas Gift !","Treasured Hands"
W152,19,3,19:20:00,"Oriental Horoscopes & Celtic Mysticism Books",86.00,"Squibbs Stationers located at 1974 Weston Road donates - 7 Assorted Oriental Horoscope & Celtic Mysticism Books -  Titles are Chinese Horoscopes - ""RAM"" / ""RAT"" / ""HORSE"" / Sacred Symbols TAO / The Chinese Astrological Handbook / Celtic Mysticism / and Native Americans. Interesting Reading Material for a Student or Teacher. ","Squibbs Stationers"
S092,20,3,19:20:00,"Woman's Golf Shirt, Golf Balls and Gadgets",85.00,"We have a group of golfing items, one is a woman's golf shirt which is madeby Nike in size medium (8-10), fifteen golf balls which are Top Flite with XL distance, and a golf bag utility belt which is an organizer for cell phone, balls, glove, tees etc., it includes six tees, divot repair tool and ball marker.  Great for the lady golfer.  ","Friends of Rotary"
U081,21,3,19:20:00,"Canadian Family Fun Package",100.00,"Includes $50 gift certificate for Chapters, Stuffed Canadian Bear, 2 books - ""Mugged by a Moose"" (signed by Matt Jackson) and ""Made in Canada"" (101 Amazing Achievements)and a Zanuu Candiana Board Game.","Gibson & Associates"
S254,22,3,19:20:00,"Certificate for Beacher Cafe",75.00,"Down at Queen and Maclean there is a great restaurant, in a great areawith great food and drinks. Atmosphere is fantastic and later after a greatmeal you can wander around down the Beaches to the water, or to look in thestores.  This certificate is for $75.00","Beacher Cafe"
U067,23,3,19:20:00,"Curves 6 Month Membership",350.00,"Scarborough - Central.  Certificate gives you a 6 month membership.  Much be redeemed by Jan. 31, 2012.  ""For First Time Visitors Only"".","Curves for Women"
S260,25,4,19:30:00,"Package of 4 Tickets to 4 Marlies Games",124.00,"Four (4)great seats in the Ricoh Coliseum to see Toronto's other hockey team!  A package of 4 games. The games are Sat. Dec 10th @ 3pm Marlies vs Albany Devils(New Jersey Devils farm team), Sunday Jan 1st @ 3pm Marlies vs St. John's Ice Caps (Winnipeg Jets farm team), Fri. Feb. 17th @ 7pm Marlies vs Rockford Icehogs (Chicago farm team), and Sat. March 10th @3pm Marlies vs Hamilton Bulldogs (Montreal Canadiens farm team).  Seat location is Row A (as in front row), section 111, seats 9 thru 12.","Rogers TV Toronto"
W002,26,4,19:30:00,"7"" TFT Portable DVD/CD/MP3 player with swivel screen",119.00,"Suprtech Computers located at 235 Dixon Road, Etobicoke donates a 7"" TFT Portable DVD/CD/MP3 player with swivel screen. It also includes an SD card reader to display your photos, and includes a set of stereo headphone for private listening. Can also be used to play a selection of included games. A great gift for a youngster.","Supertech Computers"
S289,27,4,19:30:00,"$200 Certificate toward Caribbean Sailing Adventure!",200.00,"Join in the fun as a group head down to the Caribbean for a Sailing Adventure! Every year Harbourfront Centre Sailing and Powerboating arrange for a group of people to head south and improve their sailing skills...you could be next!  This certificate offers you $200 off the price...for more details check out their website www.harbourfrontcentre.com","Harbourfront Centre Sailing and Powerboating Inc"
W022,28,4,19:30:00,"Dining at Weston Golf Club",80.00,"The Weston Golf & Country Club located at 50 St. Phillips Road donates - Two$ 40 Gift Cards for dining at Weston - Enjoy the atmosphere os the newly decorated Arnold Palmer Room and the fine dining services at Weston.Gift Cards must be used separately - so enjoy both of your visits to Weston","Weston Golf & Country Club"
X091,29,4,19:30:00,"PRO MOUNTS Flat Panel Wall Mount",140.00,"This Wall Mount with tilt feature designed for 23"" to 42"" Flat Panel LCD and LED TVs, weight capacity up to 80 pounds,VESA compliant, head tilts -5 to +15 degrees, arms swivel -180 to +180 degrees, low profile design folds flat against wall, integrated cable management, mounting hardware included.","Sherwood TV Sales & Services "
Y063,30,4,19:30:00,"Amethyst & Peridot Earrings",150.00,"Grace & Angeline is a Custom Designer Jewelery Maker in the Bloor West Village neighbourhood. They have a fine collection of uniquely designed semi-preciuos stone pieces such as these beautifully designed Amethyst & Peridot earrings made with gold filled fittings. This would make a marvelous Christmas Gift for that Special Lady. ","Grace & Angeline"
U083,31,4,19:30:00,"Dog Lover's Package",85.00,"Brown Microfibre Repellent Bed for medium size dog, copy of book ""Marley & Me"" and stuffed dog.","Muddy Paws in the Guild"
W150,33,5,19:40:00,"Two Dozen Wilson Golf Balls",80.00,"Syd Wilson - a Member of Toronto Humber Rotary Club donates - Two Dozen Wilson Titanium Straight Distance Golf Balls - the Titanium Core Provides Maximum Energy Transfer - Increase Your Performance and Enjoy Your Game.","Sydney Wilson"
W073,34,5,19:40:00,"Remote Control Helicopter Set",90.00,"A & J Hobbies located at 200 Edgely Blvd. in Concord donates - a SYMA Model S107 Metal Series - Remote Control Helicopter Set - complete with 3 Channel Remote Control and Rechargeable Battery and Transmitter - suitable for Indoor Flying - a Great Xmas Present for a Special Person with an Interest in Flying Machines.","A & J Hobbies"
U048,35,5,19:40:00,"Fibre Optic Christmas Figures",50.00,"Just in time for the Holidays!! Two Christmas figures, both with color changing fibre optics.  One is a delightful Christmas bear and the other a fun Snowman.  Perfect to help decorate your home.","Deborah   Cloakey"
W110,36,5,19:40:00,"Ladies Bulova Wrist Watch",250.00,"Bulova Watch Company donates - a Ladies Caravelle Bulova Accutron Wrist Watch - Water Resistant Quartz Movement with Gold Face and White Dial - Complimentary Matching Two Tone Metallic Bracelet - Courtesy of Bulova Watch Company.","Bulova Watch"
U079,37,5,19:40:00,"Take Your Guy Out For A Treat",110.00,"Take your guy out for a treat.  Beauty products for you as you get ready to take him out and a $60 Gift certificate for him at Bayview Village","Gibson & Associates"
U094,38,5,19:40:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
W122,39,5,19:40:00,"Packaging Kit for Moving",395.00,"Consolidated Moving & Storage Ltd. located at # 502 - 542 Mount Pleasant Road donates - a Complete Moving Kit Suitable for a Three Bedroom House - Everything Needed to Pack Up and Relocate your Entire Residence - Valid until October 20, 2012 - Includes Free Delivery of the Kit - Courtesy of Consolidated Moving & Storage Ltd.","Consolidated Moving & Storage Ltd."
S256,40,5,19:40:00,"Certificate for Beacher Cafe",75.00,"Down at Queen and Maclean there is a great restaurant, in a great areawith great food and drinks. Atmosphere is fantastic and later after a greatmeal you can wander around down the Beaches to the water, or to look in thestores.  This certificate is for $75.00","Beacher Cafe"
S034,41,6,19:50:00,"Samsun messenger phone",100.00,"This samsung messenger phone has windows live messenger Model:has GT -B7330 handset, standard Li-ion battery, travel adapter, stereo headset with FM receiver, USB charging cable and a quick start quide.  Safety and warranty guide.","Geneva Centre for Autism"
S041,42,6,19:50:00,"Rolling Computer Suitcase",100.00,"Perfect for Executives on the go! This black suitcase by McLein does double duty!  With multiple compartments you can safely pack your laptop in one section and a change of clothes in the other.  Conveniently placed pockets on the exterior will carry pens, business cards, wallets, books...etc.   Heavy duty wheels, locks and handle make this the perfect travel bag!","James W. Leech"
V008,43,6,19:50:00,"Gourmet Food Box",100.00,"An assorted gourmet food box includes all 'Emma' Italian food products:  from Italian olive oil, Balsamic vinegar, Diced tomatoes, Gnocchi pasta....and much more tasty items.","Humber River Regional Hospital Foundation"
S146,44,6,19:50:00,"GNC Gift Card",100.00,"A $100. gift card redeemable at one of the many GNC stores in Canada. GNC provides health and nutrition related products including vitamins, supplements, minerals, herbs and sports nutrition, diet and energy products","GNC Live Well"
S056,45,6,19:50:00,"6 Car Washes and $25.00 Gas Card",100.00,"Toronto Autowash has kindly donated one $25.00 gas card as well as 6 car wash passes. Toronto Autowash offers Softfoam gentle fibre wash, these certificates entitle you to ""The Works"" a full exterior wash including polish, wax, sealer, bottom blaster and rust inhibitor. Perfect to keep your car sparkling during the coming months! Toronto Auto Wash has 4 Locations to serve you, 105 Millwood Rd.,Leaside, 305 Rexdale Blvd.,Rexdale, 751 Kipling Ave., Etobicoke, and Toronto City Hall.","Sal Badali"
S032,46,6,19:50:00,"Four Passes for Golf",400.00,"Sleepy Hollow Golf and Country Club has donated four passes with carts to play on this lovely course. Take three of yours friends to enjoy this course for a round of 18 holes of golf. This is an opportunity to play a course that isprivate.  Have fun","Sleep Hollow Country club"
X078,47,6,19:50:00,"Bionaire Home Steamer W/Hanging Pole",140.00,"A 1500W home steamer also includes a fabric brush, crease attachment & Lint brush, includes 2.2 litre removable water tank with carrying handle, ideal for fabrics, curtains, pillows, linens & upholstery.","Sherwood TV Sales & Services "
Y062,49,7,20:00:00,"Cow Hide Chair",1500.00,"A Gorgeous Cow Hide Lounging Chair - upholstered in rich luxurious cow hide . Perfect or the office, family room, or Man Cave. This item has been gereously donated by Helen of CCD (Classic Cool Decor) in Bloor West Village. Visit Helen at CCD for all your decor needs!","Classic Cool Decor"
X020,50,7,20:00:00,"1 Complete Registration at International ""Music in Summer"" Festival",1990.00,"This certificate will entitle you to one complete registration as a full-time student at the JVL Summer School for Performing Arts International ""Music in Summer"" Festival in North Bay, Ontario from July 5 to 15th 2012.  This is a premier music camp for string, piano, and voice students of all ages and levels.  All expenses include transportation to and from Toronto, meals and accommodation  for the festival. Visit www.musicinsummer.com for detailed information and registration.","JVL Summer School for Performing Arts"
T022,51,7,20:00:00,"FLARE Gift Basket",1044.00,"FLARE Gift Basket","FLARE Magazine"
X094,52,7,20:00:00,"Wedding Flowers",1000.00,"Make your dreams come true with beautiful flowers from Mardi Gras Florist.  Serving Toronto for over 40 years.  Wedding flowers, custom designed,especially for you.  Buy this for yourself or gift it to someone special.","Mardi Gras Florist Inc."
X045,53,7,20:00:00,"4 Hours Sail Boat Cruise",1000.00,"Join Captain Tom with 4-6 of your close friends for a sailing experience on Lake Ontario. Capt. Tom will supply wine and cheese together with soft drinks etc. to make it a momorable afternoon of fun and fellowship.Call Tom Loughran at 416-819-9914 to book Sailing Appointment. Cruise to be completed in 2012 before 30th September.","Comfort Connections"
U008,54,7,20:00:00,"GOLD Maple Leaf Hockey Tickets",374.00,"2 Gold Seats to watch Maple Leafs vs. Hurricanes on December 13, 2011."," "
